country_code,region_name,iata,icao,airport,latitude,longitude,airport_coords
AE,Abu Zaby,AUH,OMAA,Abu Dhabi International Airport,24.433,54.6511,"(24.433, 54.6511)"
AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644,"(25.2528, 55.3644)"
AM,Erevan,EVN,UDYZ,Zvartnots International Airport,40.1473,44.3959,"(40.1473, 44.3959)"
AT,Niederosterreich,VIE,LOWW,Vienna International Airport,48.1103,16.5697,"(48.1103, 16.5697)"
AT,Salzburg,SZG,LOWS,Salzburg Airport,47.7933,13.0043,"(47.7933, 13.0043)"
AZ,Baki,GYD,UBBB,Heydar Aliyev International Airport,40.4675,50.0467,"(40.4675, 50.0467)"
BA,Federacija Bosne i Hercegovine,SJJ,LQSA,Sarajevo International Airport,43.8246,18.3315,"(43.8246, 18.3315)"
BA,Federacija Bosne i Hercegovine,TZL,LQTZ,Tuzla International Airport,44.4587,18.7248,"(44.4587, 18.7248)"
BA,Republika Srpska,BNX,LQBK,Banja Luka International Airport,44.9414,17.2975,"(44.9414, 17.2975)"
BE,Brussels Hoofdstedelijk Gewest,BRU,EBBR,Brussels Airport (Zaventem Airport),50.9014,4.48444,"(50.9014, 4.48444)"
BE,Hainaut,CRL,EBCI,Brussels South Charleroi Airport,50.4592,4.45382,"(50.4592, 4.45382)"
BG,Burgas,BOJ,LBBG,Burgas Airport,42.5696,27.5152,"(42.5696, 27.5152)"
BG,Plovdiv,PDV,LBPD,Plovdiv Airport,42.0678,24.8508,"(42.0678, 24.8508)"
BG,Sofia,SOF,LBSF,Sofia Airport,42.6967,23.4114,"(42.6967, 23.4114)"
BG,Varna,VAR,LBWN,Varna Airport,43.2321,27.8251,"(43.2321, 27.8251)"
CH,Basel-City,BSL,LFSB,EuroAirport Basel Mulhouse Freiburg,47.59,7.52916,"(47.59, 7.52916)"
CH,Geneve,GVA,LSGG,Geneva Airport,46.2381,6.10895,"(46.2381, 6.10895)"
CY,Larnaka,LCA,LCLK,Larnaca International Airport,34.8751,33.6249,"(34.8751, 33.6249)"
CZ,Stredocesky kraj,PRG,LKPR,Vaclav Havel Airport Prague,50.1008,14.26,"(50.1008, 14.26)"
DE,Baden-Wurttemberg,FDH,EDNY,Friedrichshafen Airport (Bodensee Airport),47.6713,9.51149,"(47.6713, 9.51149)"
DE,Baden-Wurttemberg,FKB,EDSB,Karlsruhe/Baden-Baden Airport,48.7794,8.0805,"(48.7794, 8.0805)"
DE,Baden-Wurttemberg,STR,EDDS,Stuttgart Airport,48.6899,9.22196,"(48.6899, 9.22196)"
DE,Bayern,FMM,EDJA,Memmingen Airport,47.9888,10.2395,"(47.9888, 10.2395)"
DE,Bayern,NUE,EDDN,Nuremberg Airport,49.4987,11.0781,"(49.4987, 11.0781)"
DE,Brandenburg,BER,EDDB,Berlin Brandenburg Airport,52.3514,13.4939,"(52.3514, 13.4939)"
DE,Bremen,BRE,EDDW,Bremen Airport,53.0475,8.78667,"(53.0475, 8.78667)"
DE,Hamburg,HAM,EDDH,Hamburg Airport,53.6304,9.98823,"(53.6304, 9.98823)"
DE,Nordrhein-Westfalen,CGN,EDDK,Cologne Bonn Airport,50.8659,7.14274,"(50.8659, 7.14274)"
DE,Nordrhein-Westfalen,DTM,EDLW,Dortmund Airport,51.5183,7.61224,"(51.5183, 7.61224)"
DE,Rheinland-Pfalz,HHN,EDFH,Frankfurt-Hahn Airport,49.9487,7.26389,"(49.9487, 7.26389)"
DE,Sachsen,LEJ,EDDP,Leipzig/Halle Airport,51.4239,12.2364,"(51.4239, 12.2364)"
DK,Hovedstaden,CPH,EKCH,Copenhagen Airport,55.6179,12.656,"(55.6179, 12.656)"
DK,Syddanmark,BLL,EKBI,Billund Airport,55.7403,9.15178,"(55.7403, 9.15178)"
EE,Harjumaa,TLL,EETN,Tallinn Airport (Lennart Meri Tallinn Airport),59.4133,24.8328,"(59.4133, 24.8328)"
EG,Al Bahr al Ahmar,HRG,HEGN,Hurghada International Airport,27.1783,33.7994,"(27.1783, 33.7994)"
EG,Al Bahr al Ahmar,RMF,HEMA,Marsa Alam International Airport,25.5571,34.5837,"(25.5571, 34.5837)"
EG,Al Iskandariyah,HBE,HEBA,Borg El Arab Airport,30.9177,29.6964,"(30.9177, 29.6964)"
EG,Al Jizah,SPX,,Sphinx International Airport,30.1097,30.8944,"(30.1097, 30.8944)"
EG,Janub Sina',SSH,HESH,Sharm el-Sheikh International Airport,27.9773,34.395,"(27.9773, 34.395)"
EG,Suhaj,HMB,HEMK,Sohag International Airport,26.3428,31.7428,"(26.3428, 31.7428)"
ES,Andalucia,AGP,LEMG,Malaga Airport,36.6749,-4.49911,"(36.6749, -4.49911)"
ES,Andalucia,SVQ,LEZL,Seville Airport,37.418,-5.89311,"(37.418, -5.89311)"
ES,Aragon,ZAZ,LEZG,Zaragoza Airport,41.6662,-1.04155,"(41.6662, -1.04155)"
ES,Canarias,FUE,GCFV,Fuerteventura Airport,28.4527,-13.8638,"(28.4527, -13.8638)"
ES,Canarias,LPA,GCLP,Gran Canaria Airport,27.9319,-15.3866,"(27.9319, -15.3866)"
ES,Canarias,TFS,GCTS,Tenerife South Airport,28.046,-16.5728,"(28.046, -16.5728)"
ES,Cantabria,SDR,LEXJ,Santander Airport,43.4271,-3.82001,"(43.4271, -3.82001)"
ES,Catalunya,BCN,LEBL,Barcelona El Prat Airport,41.2971,2.07846,"(41.2971, 2.07846)"
ES,Catalunya,GRO,LEGE,Girona-Costa Brava Airport,41.901,2.76055,"(41.901, 2.76055)"
ES,Illes Balears,IBZ,LEIB,Ibiza Airport,38.8729,1.37312,"(38.8729, 1.37312)"
ES,Illes Balears,PMI,LEPA,Palma de Mallorca Airport,39.5517,2.73881,"(39.5517, 2.73881)"
ES,"Madrid, Comunidad de",MAD,LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264,"(40.4719, -3.56264)"
ES,Pais Vasco,BIO,LEBB,Bilbao Airport,43.3011,-2.91061,"(43.3011, -2.91061)"
ES,"Valenciana, Comunidad",ALC,LEAL,Alicante-Elche Airport,38.2822,-0.558156,"(38.2822, -0.558156)"
ES,"Valenciana, Comunidad",CDT,LECH,Castellon-Costa Azahar Airport,40.2139,0.073333,"(40.2139, 0.073333)"
ES,"Valenciana, Comunidad",VLC,LEVC,Valencia Airport,39.4893,-0.481625,"(39.4893, -0.481625)"
FI,Varsinais-Suomi,TKU,EFTU,Turku Airport,60.5141,22.2628,"(60.5141, 22.2628)"
FR,Auvergne-Rhone-Alpes,GNB,LFLS,Grenoble-Isere Airport,45.3629,5.32937,"(45.3629, 5.32937)"
FR,Auvergne-Rhone-Alpes,LYS,LFLL,Lyon-Saint-Exupery Airport,45.7256,5.08111,"(45.7256, 5.08111)"
FR,Grand-Est,MLH,LFSB,Europort Mulhouse (Basel) Airport,47.5986,7.5291,"(47.5986, 7.5291)"
FR,Hauts-de-France,BVA,LFOB,Beauvais–Tillé Airport,49.45444,2.11277,"(49.45444, 2.11277)"
FR,Ile-de-France,ORY,LFPO,Aéroport de Paris-Orly,48.7231,2.35944,"(48.7231, 2.35944)"
FR,Provence-Alpes-Cote-d'Azur,NCE,LFMN,Nice Cote d'Azur Airport,43.6584,7.21587,"(43.6584, 7.21587)"
GB,England,BHX,EGBB,Birmingham Airport,52.4539,-1.74803,"(52.4539, -1.74803)"
GB,England,LBA,EGNM,Leeds Bradford Airport,53.8659,-1.66057,"(53.8659, -1.66057)"
GB,England,LGW,EGKK,Gatwick Airport,51.1481,-0.190278,"(51.1481, -0.190278)"
GB,England,LPL,EGGP,Liverpool John Lennon Airport,53.3336,-2.84972,"(53.3336, -2.84972)"
GB,England,LTN,EGGW,London Luton Airport,51.8747,-0.368333,"(51.8747, -0.368333)"
GB,Scotland,ABZ,EGPD,Aberdeen Airport,57.2019,-2.19778,"(57.2019, -2.19778)"
GB,Scotland,GLA,EGPF,Glasgow Airport,55.8719,-4.43306,"(55.8719, -4.43306)"
GE,Imereti,KUT,UGKO,David the Builder Kutaisi International Airport,42.1767,42.4826,"(42.1767, 42.4826)"
GR,Attiki,ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445,"(37.9364, 23.9445)"
GR,Ionia Nisia,CFU,LGKR,Corfu International Airport (Ioannis Kapodistrias Int'l Airport),39.6019,19.9117,"(39.6019, 19.9117)"
GR,Ionia Nisia,EFL,LGKF,Kefalonia International Airport,38.1201,20.5005,"(38.1201, 20.5005)"
GR,Ionia Nisia,ZTH,LGZA,Zakynthos International Airport (Dionysios SolomosAirport),37.7509,20.8843,"(37.7509, 20.8843)"
GR,Kentriki Makedonia,SKG,LGTS,Thessaloniki Airport,40.5197,22.9709,"(40.5197, 22.9709)"
GR,Kriti,CHQ,LGSA,Chania International Airport,35.5317,24.1497,"(35.5317, 24.1497)"
GR,Kriti,HER,LGIR,Heraklion International Airport (Nikos Kazantzakis Airport),35.3397,25.1803,"(35.3397, 25.1803)"
